List of all the possible datatypes of Cinema4D UserData.
Retrieved from https://developers.maxon.net/docs/Cinema4DPythonSDK/html/modules/c4d/index.html#c4d.GetCustomDataTypeDefault


DTYPE_BASELISTLINK	(BaseList2D).
DTYPE_BOOL	(bool).
DTYPE_BUTTON	(Button).
DTYPE_CHILDREN	(Children).
DTYPE_COLOR	(Color).
DTYPE_DYNAMIC	(GV dynamic).
DTYPE_FILENAME	(str).
DTYPE_GROUP	(Group).
DTYPE_LONG	(long).
DTYPE_MATRIX	(Matrix)
DTYPE_MULTIPLEDATA	(Multiple data entry).
DTYPE_NONE	(None).
DTYPE_NORMAL	(Normal).
DTYPE_POPUP	(Popup).
DTYPE_REAL	(float)
DTYPE_SEPARATOR	(Separator).
DTYPE_STATICTEXT	(Static text).
DTYPE_STRING	(str).
DTYPE_SUBCONTAINER	(BaseContainer).
DTYPE_TEXTURE	(Texturename).
DTYPE_TIME	(BaseTime).
DTYPE_VECTOR	(Vector).
